"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Cheika reunites Cooper, Genia http://t.co/jvxWaJrD8T",FALSE,0,NA,2014-10-30 18:15:04,FALSE,NA,"527886417566121984",NA,"<a href=""http://www.sport24.co.za"" rel=""nofollow"">Sport24Tweeter</a>","Sport24news",0,FALSE,FALSE,NA,NA
"2","Mbalula mourns Meyiwa loss http://t.co/md5NgUOl6W",FALSE,0,NA,2014-10-30 18:15:03,FALSE,NA,"527886414118408192",NA,"<a href=""http://www.sport24.co.za"" rel=""nofollow"">Sport24Tweeter</a>","Sport24news",0,FALSE,FALSE,NA,NA
"3","Ex-Proteas roped in as pundits http://t.co/Grt19OnOdc",FALSE,1,NA,2014-10-30 18:15:02,FALSE,NA,"527886410666487809",NA,"<a href=""http://www.sport24.co.za"" rel=""nofollow"">Sport24Tweeter</a>","Sport24news",0,FALSE,FALSE,NA,NA
"4","Murray books ticket to London http://t.co/FBMJF4mxVB",FALSE,0,NA,2014-10-30 18:00:05,FALSE,NA,"527882647008460800",NA,"<a href=""http://www.sport24.co.za"" rel=""nofollow"">Sport24Tweeter</a>","Sport24news",0,FALSE,FALSE,NA,NA
"5","Iconic boxing ring stolen http://t.co/zDB1znWTw9",FALSE,0,NA,2014-10-30 18:00:04,FALSE,NA,"527882643556560897",NA,"<a href=""http://www.sport24.co.za"" rel=""nofollow"">Sport24Tweeter</a>","Sport24news",0,FALSE,FALSE,NA,NA
"6","Koeman happy with fixture glut http://t.co/Lcq99MCByh",FALSE,0,NA,2014-10-30 18:00:03,FALSE,NA,"527882640142393344",NA,"<a href=""http://www.sport24.co.za"" rel=""nofollow"">Sport24Tweeter</a>","Sport24news",0,FALSE,FALSE,NA,NA
"7","Rodgers palms off Balo talk http://t.co/BIUp3zUvHM",FALSE,0,NA,2014-10-30 18:00:02,FALSE,NA,"527882636539490304",NA,"<a href=""http://www.sport24.co.za"" rel=""nofollow"">Sport24Tweeter</a>","Sport24news",0,FALSE,FALSE,NA,NA
"8","Shakes remembers smiling Senzo http://t.co/Bq8XdqXdMf",FALSE,0,NA,2014-10-30 17:15:04,FALSE,NA,"527871320198225922",NA,"<a href=""http://www.sport24.co.za"" rel=""nofollow"">Sport24Tweeter</a>","Sport24news",0,FALSE,FALSE,NA,NA
"9","Mbalula warns Meyiwa killers http://t.co/TQc5k83uGK",FALSE,1,NA,2014-10-30 15:45:12,FALSE,NA,"527848701998690304",NA,"<a href=""http://www.sport24.co.za"" rel=""nofollow"">Sport24Tweeter</a>","Sport24news",1,FALSE,FALSE,NA,NA
"10","Sammy excited to be in SA http://t.co/OmgHIEmbi5",FALSE,0,NA,2014-10-30 15:30:03,FALSE,NA,"527844891397980160",NA,"<a href=""http://www.sport24.co.za"" rel=""nofollow"">Sport24Tweeter</a>","Sport24news",1,FALSE,FALSE,NA,NA
