"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","""Most Arab states share Isis’s ideology. They’re trying to have it both ways."" #Apostasy  http://t.co/QL9zxmVizf",FALSE,2,NA,2014-10-30 14:26:35,FALSE,NA,"527828917487677440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barrybateman",11,FALSE,FALSE,NA,NA
"2","Here's a novel idea: how about dealing with corrupt cops and enforcing existing firearm legislation?",FALSE,31,NA,2014-10-30 14:00:03,FALSE,NA,"527822240487075840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barrybateman",20,FALSE,FALSE,NA,NA
"3","""COSAS is not a clown organization..."" it says amid threats to intensify pig-head Woolworths campaign. 

 http://t.co/fqsrxG7YgM",FALSE,3,NA,2014-10-30 13:57:22,FALSE,NA,"527821564935684098",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barrybateman",4,FALSE,FALSE,NA,NA
"4","@BarryBarlow7 existing drug laws probably contribute to and exacerbate the problem on the Cape Flats. Prohibition is a failure.",FALSE,0,"BarryBarlow7",2014-10-30 13:54:58,FALSE,"527788414977187840","527820960175767552","2195413480","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barrybateman",0,FALSE,FALSE,NA,NA
"5","@WantuDube take it up with the Health Professions Council of SA.",FALSE,0,"WantuDube",2014-10-30 08:30:20,FALSE,"527738515589971968","527739264294199296","51710682","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barrybateman",0,FALSE,FALSE,NA,NA
"6","@WantuDube who is ""he""? A doctor? Take it up with the doctor, alternatively speak to HPCSA.",FALSE,0,"WantuDube",2014-10-30 08:26:01,FALSE,"527736156616921088","527738180276334592","51710682","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barrybateman",0,FALSE,FALSE,NA,NA
"7","""There's no evidence that tough enforcement of the drug laws on personal possession leads to lower levels of drug use http://t.co/UYoMNP206h",FALSE,3,NA,2014-10-30 07:51:26,FALSE,NA,"527729476919394304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barrybateman",6,FALSE,FALSE,NA,NA
"8","@Skhomo23 and the married party? He had no choice? @TashJoeZA",FALSE,0,"Skhomo23",2014-10-30 07:47:18,FALSE,"527726433901490176","527728437910585344","263703399","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barrybateman",0,FALSE,FALSE,NA,NA
"9","@ThaboMashike why is the onus solely on the woman? These are consenting adults.  @TashJoeZA",FALSE,3,"ThaboMashike",2014-10-30 07:46:16,FALSE,"527726220927324160","527728174273400832","255637302","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barrybateman",0,FALSE,FALSE,NA,NA
"10","This is what it’s all about - The tracks that defined Sven Vath’s 50th Bday at Time Warp. #techno http://t.co/8XDXkISuPd",FALSE,4,NA,2014-10-29 16:24:04,FALSE,NA,"527496096948690945",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","barrybateman",2,FALSE,FALSE,NA,NA
