"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@oxfaminSA @Anna06465481 @PercyMalookwe oxfam, i think your solutions are dated, miss some key anti-distributive trends.",FALSE,0,"oxfaminSA",2014-10-30 11:54:49,FALSE,"527734616191680512","527790724692336640","1221273788","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferialhaffajee",0,FALSE,FALSE,NA,NA
"2","Current events again show the locale of editorial independence must lie in the newsroom, not the boardroom. It's not a gift, it's a given.",FALSE,11,NA,2014-10-29 18:30:54,FALSE,NA,"527528013383360513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferialhaffajee",9,FALSE,FALSE,NA,NA
"3","Zambian Pres Sata dies in London hospital. Was he visiting or being treated there?",FALSE,0,NA,2014-10-29 07:05:29,FALSE,NA,"527355526355890176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferialhaffajee",4,FALSE,FALSE,NA,NA
"4","@fikelelom on point in The Star today. If Minister Lindi says black under-40's don't have apartheid issues then neither do white under-40's",FALSE,0,"fikelelom",2014-10-29 07:01:10,FALSE,NA,"527354436180799488","2371546780","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferialhaffajee",0,FALSE,FALSE,NA,NA
"5","*Beautiful. He. Found. The. Words.*The Meyiwa Syndrome: How three dead men explain a country http://t.co/0GvfCzz91G",FALSE,5,NA,2014-10-28 21:10:56,FALSE,NA,"527205902059708416",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","ferialhaffajee",8,FALSE,FALSE,NA,NA
"6","*Too sad* Senzo Meyiwa’s number one jersey to be retired  http://t.co/E0joonmfq6",FALSE,2,NA,2014-10-28 15:03:45,FALSE,NA,"527113496593326080",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","ferialhaffajee",4,FALSE,FALSE,NA,NA
"7","*Very cool*Patrice Motsepe donates R11 million to fight Ebola  http://t.co/PaIzF6gkBd",FALSE,21,NA,2014-10-28 14:58:32,FALSE,NA,"527112181913878528",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","ferialhaffajee",42,FALSE,FALSE,NA,NA
"8","I thought Anni was Shrien’s business partner – Tongo  http://t.co/7uyx2WuKjP",FALSE,0,NA,2014-10-28 14:57:59,FALSE,NA,"527112043740930050",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","ferialhaffajee",4,FALSE,FALSE,NA,NA
"9","*But it's fine for Mr. Licence-Journalists to do so. Eish*Thuli Madonsela wasting funds in SABC battle – ANC  http://t.co/nq5kx0IjRj",FALSE,7,NA,2014-10-28 14:56:18,FALSE,NA,"527111621923979264",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","ferialhaffajee",8,FALSE,FALSE,NA,NA
"10","End in sight for innovative HIV prevention trials  http://t.co/PezRSg8VoF",FALSE,0,NA,2014-10-28 14:54:55,FALSE,NA,"527111273297625088",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","ferialhaffajee",2,FALSE,FALSE,NA,NA
"11","Spider-Man for president, say SA kids  http://t.co/7PeSyp3ift",FALSE,2,NA,2014-10-28 14:54:06,FALSE,NA,"527111066187071489",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","ferialhaffajee",5,FALSE,FALSE,NA,NA
"12","Eating out: Black women get bad service  http://t.co/Cl9XJGbZGj",FALSE,2,NA,2014-10-28 14:52:55,FALSE,NA,"527110771809857536",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","ferialhaffajee",7,FALSE,FALSE,NA,NA
"13","We can’t have a free for all – Lindiwe Sisulu  http://t.co/TRYtDgN4oB",FALSE,1,NA,2014-10-28 14:52:25,FALSE,NA,"527110642772111360",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","ferialhaffajee",0,FALSE,FALSE,NA,NA
"14","SAPS releases Senzo Meyiwa ‘killers’ identikits  http://t.co/r2kxTuQuUw",FALSE,1,NA,2014-10-28 14:51:03,FALSE,NA,"527110302123294720",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","ferialhaffajee",6,FALSE,FALSE,NA,NA
"15","HIV vaccine could be available in SA by 2019  http://t.co/YSrv0A1Bbv",FALSE,5,NA,2014-10-28 14:50:46,FALSE,NA,"527110230723670017",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","ferialhaffajee",8,FALSE,FALSE,NA,NA
"16","@Ayandizo that's just all stories in papers this morning.",FALSE,0,"Ayandizo",2014-10-28 06:46:16,FALSE,"526988067610296320","526988301157531648","148326882","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferialhaffajee",0,FALSE,FALSE,NA,NA
"17","So many #SenzoMeyiwa theories in papers this morning. @lesleymofokeng in @SowetanLIVE is on the money as usual.",FALSE,0,NA,2014-10-28 06:43:31,FALSE,NA,"526987610158563328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferialhaffajee",8,FALSE,FALSE,NA,NA
"18","#senzo leaving, shot by sister's boyfriend by mistake; 
#senzo's friend tried to grab gun. star shot in error.
#senzo died protecting kelly",FALSE,4,NA,2014-10-28 06:41:21,FALSE,NA,"526987064693510144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferialhaffajee",16,FALSE,FALSE,NA,NA
"19","What a Whitey!",FALSE,1,NA,2014-10-28 06:36:24,FALSE,NA,"526985815667539969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferialhaffajee",0,FALSE,FALSE,NA,NA
"20","Oh no man this guy does not inspire confidence.",FALSE,0,NA,2014-10-27 11:30:07,FALSE,NA,"526697344038092800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferialhaffajee",1,FALSE,FALSE,NA,NA
"21","BEELD 1st daily to get #SenzoMeyiwa death to front page edition 1.Beneath it: Farmer gunned down; body taken. Friends rescue; kill gunners.",FALSE,10,NA,2014-10-27 10:38:32,FALSE,NA,"526684365355745280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferialhaffajee",18,FALSE,FALSE,NA,NA
"22","I'm sorry but there's a thin blue line from the Vosloorus streets without cops or good sectoral policing all the way to under-earned badges.",FALSE,6,NA,2014-10-27 10:10:24,FALSE,NA,"526677284649177088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferialhaffajee",5,FALSE,FALSE,NA,NA
"23","Captain our captain! Will your tragic death make us pull the trigger on SA's dysfunctional relationship with guns? And who will lead?",FALSE,21,NA,2014-10-27 10:06:44,FALSE,NA,"526676360908255232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferialhaffajee",42,FALSE,FALSE,NA,NA
"24",".@City_Press on Sunday How gazillions in the police budget for detectives was moved to blue light brigades and VIP protection. Sigh!",FALSE,4,NA,2014-10-25 16:39:04,FALSE,NA,"526050320728993792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferialhaffajee",29,FALSE,FALSE,NA,NA
"25",".@City_Press on Sunday  Oscar's huge unpaid legal bills. What will Barry Roux do?",FALSE,7,NA,2014-10-25 16:36:49,FALSE,NA,"526049752052690944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferialhaffajee",10,FALSE,FALSE,NA,NA
