"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@showsyouoff never lol",FALSE,33,"showsyouoff",2014-10-30 18:09:17,FALSE,"527884289002975232","527884962734039042","1274851728","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","john",61,FALSE,FALSE,NA,NA
"2","@byekiana nevermind https://t.co/EZstQFnz3S",FALSE,23,"byekiana",2014-10-30 18:08:49,FALSE,"525773333875666944","527884845520015361","614712764","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","john",45,FALSE,FALSE,NA,NA
"3","@byekiana did you ever find out the answer to this? It keeps happening to me too but nothing happens when I touch it.",FALSE,26,"byekiana",2014-10-30 18:07:41,FALSE,"525773333875666944","527884560852586497","614712764","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","john",48,FALSE,FALSE,NA,NA
"4","@TONYROCK good show last night.. i'm the ""accountant"".",FALSE,63,"TONYROCK",2014-10-30 16:14:06,FALSE,NA,"527855975814807553","22848668","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","john",163,FALSE,FALSE,NA,NA
"5","Tim Cook Speaks Up http://t.co/6gNDg5CZaZ",FALSE,371,NA,2014-10-30 15:38:53,FALSE,NA,"527847114332569601",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","john",729,FALSE,FALSE,NA,NA
"6","Check out @djskee on @shots http://t.co/39ce7Kbe3o",FALSE,594,NA,2014-10-30 01:37:02,FALSE,NA,"527635256984088576",NA,"<a href=""http://shots.me"" rel=""nofollow"">Shots App</a>","john",1310,FALSE,FALSE,NA,NA
"7","@justinbieber Miss you JB http://t.co/hauEowpIJM",FALSE,1000,"justinbieber",2014-10-30 01:25:30,FALSE,NA,"527632354148225024","27260086","<a href=""http://shots.me"" rel=""nofollow"">Shots App</a>","john",1995,FALSE,FALSE,NA,NA
"8","@djskee I see you Skee http://t.co/89AzusRPHS",FALSE,340,"djskee",2014-10-30 00:37:10,FALSE,NA,"527620188078743553","14149571","<a href=""http://shots.me"" rel=""nofollow"">Shots App</a>","john",886,FALSE,FALSE,NA,NA
"9","Happy Halloween from us @anwar_wj @MelvinGregg @KingBach @DeStorm  http://t.co/ZN8I7Vftq8",FALSE,1029,NA,2014-10-29 02:57:50,FALSE,NA,"527293200138907648",NA,"<a href=""http://shots.me"" rel=""nofollow"">Shots App</a>","john",2388,FALSE,FALSE,NA,NA
"10","TBE @FloydMayweather http://t.co/ckv5rEmzJv",FALSE,1849,NA,2014-10-28 15:37:24,FALSE,NA,"527121962984685568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","john",4821,FALSE,FALSE,NA,NA
"11","long but great work day (not over yet) http://t.co/PKOut0qBOi",FALSE,1228,NA,2014-10-28 00:53:47,FALSE,NA,"526899595494711297",NA,"<a href=""http://shots.me"" rel=""nofollow"">Shots App</a>","john",2957,FALSE,FALSE,NA,NA
"12","vegan dinner w/ @rudymancuso  http://t.co/nFkLNGqqdF",FALSE,1494,NA,2014-10-27 01:26:24,FALSE,NA,"526545413982400512",NA,"<a href=""http://shots.me"" rel=""nofollow"">Shots App</a>","john",3700,FALSE,FALSE,NA,NA
"13","Just posted on @shots http://t.co/89346HX81W",FALSE,1392,NA,2014-10-26 18:13:08,FALSE,NA,"526436379404664832",NA,"<a href=""http://shots.me"" rel=""nofollow"">Shots App</a>","john",3392,FALSE,FALSE,NA,NA
"14","The word ""impossible"" says ""I'm possible"".",FALSE,1906,NA,2014-10-26 16:40:34,FALSE,NA,"526413084639117312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","john",3867,FALSE,FALSE,NA,NA
"15","Lunch at @WahoosFishTaco  http://t.co/63XrzC9za4",FALSE,1335,NA,2014-10-25 21:45:28,FALSE,NA,"526127427177938944",NA,"<a href=""http://shots.me"" rel=""nofollow"">Shots App</a>","john",3261,FALSE,FALSE,NA,NA
