"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Cc @stuttafords_za  @tendysingo @LeanneManas - TanQ..wil go get it. Tell stuttafords their jackets,thru U, are killing us. Love dem....",FALSE,2,NA,2014-10-30 06:48:04,FALSE,NA,"527713529168928768",NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>","LeanneManas",1,FALSE,FALSE,NA,NA
"2","Police have denied arresting or questioning anybody in connection with Soccer Star, Senzo Meyiwa's killing..",FALSE,1,NA,2014-10-30 05:47:49,FALSE,NA,"527698367552700416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeanneManas",16,FALSE,FALSE,NA,NA
"3","The man was attempting to beat the previous record of 55 shots. Police say he swallowed 30 glasses in the space of a minute!! #frenchshots",FALSE,0,NA,2014-10-30 05:44:57,FALSE,NA,"527697644425347072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeanneManas",10,FALSE,FALSE,NA,NA
"4","French police have opened an investigation following the death of a man after he downed 56 shots during a drinking competition. #frenchshots",FALSE,0,NA,2014-10-30 05:42:55,FALSE,NA,"527697133517176832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeanneManas",20,FALSE,FALSE,NA,NA
"5","Lol U 2 can have one @Stuttafords_za  @ted_baker ""@tendysingo: @LeanneManas - yoohh Leane, that jacket ...my God.. Where did u get it frm.""",FALSE,2,NA,2014-10-30 05:34:02,FALSE,NA,"527694897038778368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LeanneManas",1,FALSE,FALSE,NA,NA
"6","CEO of Hard Rock Cafe International Hamish Dodds. The group Donated R150k to NM children's Hospital. http://t.co/Tf0ErkZgeF",FALSE,8,NA,2014-10-30 05:09:45,FALSE,NA,"527688787812691968",NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>","LeanneManas",8,FALSE,FALSE,NA,NA
"7","Great evening! RT  @HRCJohannesburg Spotted @LeanneManas #MiCasaHRC http://t.co/9vkhsfB2Sd",FALSE,12,NA,2014-10-29 19:38:40,FALSE,NA,"527545069143097344",NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>","LeanneManas",2,FALSE,FALSE,NA,NA
"8","Ì†ΩÌ≤ãRT @HRCJohannesburg @LeanneManas spotted at #MiCasaHRC with @LorindasWorld @_4ElementsMedia #ThisIsHardRock http://t.co/KIHoB3Rotk",FALSE,5,NA,2014-10-29 19:35:54,FALSE,NA,"527544371080871937",NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>","LeanneManas",0,FALSE,FALSE,NA,NA
"9","Tonight?? We out already, in fact every week this past month. RT  @ewnreporter #Eskoms announced another ... http://t.co/yIsCOfTiUA",FALSE,1,NA,2014-10-29 14:56:06,FALSE,NA,"527473957981917184",NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>","LeanneManas",2,FALSE,FALSE,NA,NA
"10","@ZeldalaGrangeSA @Gavinkoppel that's why I love you both equally! Hope born day you gorgeous Scorpio twins Ì†ΩÌ∏ÜÌ†ΩÌ∏ô",FALSE,3,"ZeldalaGrangeSA",2014-10-29 14:37:35,FALSE,NA,"527469299909554176","252613727","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>","LeanneManas",1,FALSE,FALSE,NA,NA
