"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Gosh “@ewnreporter: #HCI HCI's John Copelyn breaks down during AGM. He could not complete reading his statement. CL http://t.co/Adf60T1Mpa”",FALSE,0,"ewnreporter",2014-10-30 13:08:46,FALSE,"527808948179853313","527809336819871744","191795989","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MandyWiener",10,FALSE,FALSE,NA,NA
"2","Courageous new book by colleague @GiaNicolaides about experiences of female journalists in Marikana. Eye opening! http://t.co/SnNhevimp7",FALSE,12,NA,2014-10-28 20:10:26,FALSE,NA,"527190676719828992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MandyWiener",11,FALSE,FALSE,NA,NA
"3","@Kimbean_G @barrybateman yes I also heard that in sentencing - I don't think it's true",FALSE,0,"Kimbean_G",2014-10-28 17:55:55,FALSE,"527156137205194752","527156821757554688","203437106","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MandyWiener",0,FALSE,FALSE,NA,NA
"4","South African kids prefer Spiderman to Zuma as President! Rabobi, Rabobi...  http://t.co/1D3jWuKzjj",FALSE,15,NA,2014-10-28 14:47:19,FALSE,NA,"527109360594735104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MandyWiener",19,FALSE,FALSE,NA,NA
"5","@AB75HM oh absolutely. Not disagreeing with the principal at all.",FALSE,0,"AB75HM",2014-10-28 14:29:14,FALSE,"527104634003800064","527104808495632385","251934762","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MandyWiener",0,FALSE,FALSE,NA,NA
"6","#SenzoMeyiwa In case you missed it earlier - here are the identikits of the suspects released by the police: http://t.co/SEQivk5XzW",FALSE,6,NA,2014-10-28 14:25:34,FALSE,NA,"527103887845883904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MandyWiener",24,FALSE,FALSE,NA,NA
"7","#SenzoMeyiwa Private detectives run a veritable shadow police force in SA made up of all those cops who left the SAPS. They cost big bucks.",FALSE,4,NA,2014-10-28 14:20:36,FALSE,NA,"527102637544853504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MandyWiener",14,FALSE,FALSE,NA,NA
"8","#SenzoMeyiwa Family hires a firm of ten private detectives to probe death. Not unusual in SA but what does it say about confidence in SAPS?",FALSE,34,NA,2014-10-28 14:19:21,FALSE,NA,"527102322468728832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MandyWiener",112,FALSE,FALSE,NA,NA
"9","@MargieOrford @khadijapatel a little boy and a trial stole my year.",FALSE,0,"MargieOrford",2014-10-27 20:30:48,FALSE,"526771036822708226","526833415380029440","368584748","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MandyWiener",0,FALSE,FALSE,NA,NA
"10","@SweetMandoza space on twitter! No other reason.",FALSE,0,"SweetMandoza",2014-10-27 14:22:34,FALSE,"526739128944427008","526740742895841281","1464095594","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MandyWiener",0,FALSE,FALSE,NA,NA
"11","And for those who are asking, Oscar Pistorius doesn't attend appeal hearings in court. It also doesn't affect his jail term for now.",FALSE,9,NA,2014-10-27 13:14:44,FALSE,NA,"526723674691616768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MandyWiener",31,FALSE,FALSE,NA,NA
"12","Don't worry, you're unlikely to see live soap opera and witnesses ad nauseam. The appeal process is often mostly on paper and very legal.",FALSE,5,NA,2014-10-27 13:11:36,FALSE,NA,"526722884534669313",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MandyWiener",13,FALSE,FALSE,NA,NA
"13","Question now is whether Adv Barry Roux and defence legal team will act for OP in appeal with a massive fee still due. New lawyers?",FALSE,6,NA,2014-10-27 13:06:23,FALSE,NA,"526721573332738049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MandyWiener",47,FALSE,FALSE,NA,NA
"14","@CharlduPlessc um and the rest of the country's media boet :)",FALSE,0,"CharlduPlessc",2014-10-27 12:58:18,FALSE,"526716158976991232","526719537233035264","82567380","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MandyWiener",0,FALSE,FALSE,NA,NA
