"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","there is parody and there is dangerous, harmful conjecture. I do not wish to be a part of it. The capacity for cruelty is jaw dropping",FALSE,5,NA,2014-10-30 14:13:34,FALSE,NA,"527825644269608960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",13,FALSE,FALSE,NA,NA
"2","Since I don't want toxicity I will block anyone who sends me unverified id kit matches &amp; whatssap messages from fake Kelly accounts bcos",FALSE,4,NA,2014-10-30 14:11:27,FALSE,NA,"527825110498295808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",7,FALSE,FALSE,NA,NA
"3","Many are hurt by Senzo's death.Wrongly attributing his murder to ANYONE can invite irreparable harm.I will not dictate what u may tweet but",FALSE,9,NA,2014-10-30 14:05:08,FALSE,NA,"527823521020649473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",13,FALSE,FALSE,NA,NA
"4","@BabalwaNdunge given sensitivity&amp; seriousness of this issue, have u at least satisfied yourself that messages r real, before spreading them?",FALSE,0,"BabalwaNdunge",2014-10-30 13:51:48,FALSE,"527815868504629249","527820164671500288","2394855729","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",0,FALSE,FALSE,NA,NA
"5","@BabalwaNdunge with proliferation of parody&amp;fake twitter accounts, have you verified authenticity of the messages that you are spreading?",FALSE,0,"BabalwaNdunge",2014-10-30 13:51:40,FALSE,"527815868504629249","527820131309993984","2394855729","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",0,FALSE,FALSE,NA,NA
"6","@BabalwaNdunge..castigating Kelly's ""morals"",yet ignoring Senzo's by ONLY focusing on his talent says a lot about status of gender politics",FALSE,9,"BabalwaNdunge",2014-10-30 03:00:53,FALSE,"527581647357882369","527656356883755010","2394855729","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",18,FALSE,FALSE,NA,NA
"7","@BabalwaNdunge it prevails.The humiliation from her husband's public affair,having a child, dying @ girlfriend's house.Nobody deserves that",FALSE,1,"BabalwaNdunge",2014-10-30 02:46:41,FALSE,"527581647357882369","527652781432532992","2394855729","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",0,FALSE,FALSE,NA,NA
"8","@Matshele82 I'm so sorry for your loss.",FALSE,0,"Matshele82",2014-10-29 19:33:12,FALSE,"527538464552923136","527543694883553280","438062506","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",0,FALSE,FALSE,NA,NA
"9","No man! !!!! RT @SundayTimesZA: Pretoria advocate shot dead http://t.co/Mjeh9e6ZMf",FALSE,4,NA,2014-10-29 19:05:58,FALSE,NA,"527536838375120896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",9,FALSE,FALSE,NA,NA
"10","@DGAckerman8 sense of humour failure?",FALSE,0,"DGAckerman8",2014-10-29 10:13:59,FALSE,"527401882395095040","527402962084438016","231067486","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",0,FALSE,FALSE,NA,NA
"11","@kenkoen @ZukiKSA I cannot believe this person took you literally.",FALSE,0,"kenkoen",2014-10-29 10:03:13,FALSE,"527400084347318272","527400252673097728","147177929","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",0,FALSE,FALSE,NA,NA
"12","Whom should we ignore?  Tune in",FALSE,2,NA,2014-10-29 09:54:06,FALSE,NA,"527397959617757185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",0,FALSE,FALSE,NA,NA
"13","@JSopho Google her",FALSE,0,"JSopho",2014-10-29 09:25:15,FALSE,"527390493240754177","527390696358305792","2331788914","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",0,FALSE,FALSE,NA,NA
"14","Acclaimed actress S'thandiwe Kgoroge shares her experience . She recently had a stroke. She had no warning sign. It literally just happened",FALSE,3,NA,2014-10-29 09:12:39,FALSE,NA,"527387528933146624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",7,FALSE,FALSE,NA,NA
"15","@Tulani30 @pinkykhoabane he went to court, lost, then resigned",FALSE,0,"Tulani30",2014-10-29 08:54:41,FALSE,"527381684820643840","527383004763934720","49586037","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",0,FALSE,FALSE,NA,NA
"16","@pinkykhoabane @Tulani30 Marcel has also gone Awol. Thought it fair to invite him to substantiate his claim",FALSE,2,"pinkykhoabane",2014-10-29 08:35:17,FALSE,"527376560366817280","527378123302899712","23050150","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RediTlhabi",0,FALSE,FALSE,NA,NA
