"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@thabalekalakala Thanks, I think I will..",FALSE,0,"thabalekalakala",2014-10-30 06:41:04,FALSE,"527710863944593408","527711769201238016","574550004","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",0,FALSE,FALSE,NA,NA
"2","In a slightly unpredictable twist, I'm on for @RediTlhabi this morning! Very excited! Taking calls.... How does that work again?",FALSE,9,NA,2014-10-30 06:32:02,FALSE,NA,"527709492491063296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StephenGrootes",5,FALSE,FALSE,NA,NA
"3","RT @KrilaGP: @StephenGrootes please don't lie. I finished 2 BMF terms, handed over at AGM without spectacle.I served 6years, longest record.",FALSE,0,NA,2014-10-30 06:14:53,FALSE,NA,"527705177600851968",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",0,FALSE,FALSE,NA,NA
"4","@CowDoc2008 @ronesh @tsepisomakwetla Well, Wikipedia says ""French heritage"". As for classification, look at the picture, you decide.",FALSE,1,"CowDoc2008",2014-10-29 14:34:19,FALSE,"527465052186488833","527468475997241344","1685004098","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",2,FALSE,FALSE,NA,NA
"5","#Eskom Eskom has announced another power emergancy. Requests everyone to cut back on power usage to avoid load-shedding tonight. SG",FALSE,1,NA,2014-10-29 14:22:23,FALSE,NA,"527465475597692928",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",19,FALSE,FALSE,NA,NA
"6","@TonyLeonSA @Telegraph @Simmoa Guy Scott is not first white democratic leader in Africa. Paul Berenger. Mauritius http://t.co/1zXxWxUtUA",FALSE,1,"TonyLeonSA",2014-10-29 13:07:49,FALSE,"527446073334169600","527446710348689409","299029471","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",3,FALSE,FALSE,NA,NA
"7","@kraaibos I do pay fines, I understand that law. I find TV licence bizarre, surely unconstitutional to say I must pay to help my competitor.",FALSE,0,"kraaibos",2014-10-29 12:55:35,FALSE,"527442021704011776","527443632035725312","575622556","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",0,FALSE,FALSE,NA,NA
"8","Has anyone had anything bad happen to them as a result of not paying their TV licence? I'm really conflicted.",FALSE,2,NA,2014-10-29 12:41:14,FALSE,NA,"527440019062276096",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",4,FALSE,FALSE,NA,NA
"9","#MiddayReport Do you believe commercial media organisations are pressured by government to report ""kindly"". Is commercial media independent?",FALSE,1,NA,2014-10-29 09:15:11,FALSE,NA,"527388163577491456",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",9,FALSE,FALSE,NA,NA
"10","#MiddayReport Today: Zambian President dies, who could take over, Senzo Miyewa latest, RDP houses to go wife in divorces and nudist beaches.",FALSE,3,NA,2014-10-29 09:14:24,FALSE,NA,"527387967489593344",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",5,FALSE,FALSE,NA,NA
"11","So after some time trying, I get through to HCI CEO Johnny Copelyn to ask about the e-tv saga. He declined our invitation....",FALSE,1,NA,2014-10-29 06:41:18,FALSE,NA,"527349437887438848",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",12,FALSE,FALSE,NA,NA
"12","Why do you think myths like the West created Ebola or HIV are so strong? Why drives them?",FALSE,0,NA,2014-10-28 09:27:02,FALSE,NA,"527028760793853952",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",2,FALSE,FALSE,NA,NA
"13","#MiddayReport Today: Senzo Miyewa latest, Hlaudi's attorney, Emirates flights, artifical intelligence, RAF results, circular immigration.",FALSE,1,NA,2014-10-28 09:26:41,FALSE,NA,"527028670213685249",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",1,FALSE,FALSE,NA,NA
"14","Wow Barbara Hogan's resignation letter is annnggggry....http://t.co/M3J3WqDZlj",FALSE,8,NA,2014-10-28 08:42:12,FALSE,NA,"527017476622913537",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",7,FALSE,FALSE,NA,NA
"15","#NUMSA Clarity from Dep Gen Sec Karl Cloete: NUMSA NEC meeting simply reaffirmed earlier congress decision to withdraw support from ANC. SG",FALSE,0,NA,2014-10-27 14:13:35,FALSE,NA,"526738484854550528",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",12,FALSE,FALSE,NA,NA
"16","@SebastianEarl NUMSA has basically left the Alliance already, by withdrawing support for ANC, the fight is now about Cosatu.",FALSE,0,"SebastianEarl",2014-10-27 13:23:22,FALSE,"526725574723911680","526725845705322497","219018890","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",0,FALSE,FALSE,NA,NA
"17","#NUMSA As I understand the statement, it's a restatement of NUMSA's Special Congress in December, when it withdrew support for the ANC.",FALSE,0,NA,2014-10-27 13:20:46,FALSE,NA,"526725193994358784",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",10,FALSE,FALSE,NA,NA
"18","@tiffanymarkman Water?",FALSE,0,"tiffanymarkman",2014-10-24 12:41:59,FALSE,"525628105621512193","525628269149048832","17569212","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",0,FALSE,FALSE,NA,NA
"19","@freshmija Hlaudi, Vavi, Botswana elections, Oscar appeal, HCI dispute, Grace Mugabe, Currie Cup.",FALSE,0,"freshmija",2014-10-24 10:05:02,FALSE,"525580364216287232","525588770293571584","188330776","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",1,FALSE,FALSE,NA,NA
"20","#Cosatu Some indications now that this whole meeting, and thus the vote, could be adjourned for a while. SG",FALSE,2,NA,2014-10-23 15:25:25,FALSE,NA,"525307010221637632",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",3,FALSE,FALSE,NA,NA
"21","The implications for workers and employers, if NUMSA goes, and Cosatu does split. From today's #MiddayReport http://t.co/7B3E77CV9d",FALSE,1,NA,2014-10-23 14:23:46,FALSE,NA,"525291495247855616",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",7,FALSE,FALSE,NA,NA
"22","#Cosatu #Analysis If Cosatu does vote to expel NUMSA, it could be one of the biggest shocks to our politics in years. SG",FALSE,2,NA,2014-10-23 13:02:55,FALSE,NA,"525271147152437248",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",4,FALSE,FALSE,NA,NA
"23","#Cosatu Voting process now being prepared for ballot on whether Cosatu will expel NUMSA. Numbers are against Numsa. SG",FALSE,1,NA,2014-10-23 13:02:19,FALSE,NA,"525270997445148672",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",2,FALSE,FALSE,NA,NA
"24","#MiddayReport Is the criticism of Renee Zellwigger's new look sexist?",FALSE,0,NA,2014-10-23 10:03:54,FALSE,NA,"525226097152393216",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",3,FALSE,FALSE,NA,NA
"25","#MTBPS Nene: Will help cities to improve living conditions, modernise transport/communications, promote trade &amp; investment. SG",FALSE,0,NA,2014-10-22 12:31:19,FALSE,NA,"524900807402336256",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",3,FALSE,FALSE,NA,NA
"26","#MTBPS Nene: Capital injections for state owned companies will be allowed on condition of a sound business plan. SG",FALSE,1,NA,2014-10-22 12:30:04,FALSE,NA,"524900493689364480",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",1,FALSE,FALSE,NA,NA
"27","#MTBPS Nene: To avoid reducing expenditure, we need about R15bn a year in more revenue. Details in next budget. SG",FALSE,0,NA,2014-10-22 12:29:39,FALSE,NA,"524900387531534336",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",4,FALSE,FALSE,NA,NA
"28","#MTBPS: Nene: Planned spending on travel, conferences and catering has been cut. Advertising budgets reduced, will save R1.3bn over 2 yrs",FALSE,0,NA,2014-10-22 12:28:13,FALSE,NA,"524900028054532096",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",1,FALSE,FALSE,NA,NA
"29","#MTBPS: Nene Reduce the rate of growth to public entitites, particularles those with their own cash reserves. SG",FALSE,0,NA,2014-10-22 12:27:15,FALSE,NA,"524899783539187712",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",2,FALSE,FALSE,NA,NA
"30","#MTBPS Nene: Freeze budgets of non-essential goods and services at this years's levels, withdraw funding for long-vacant posts. SG",FALSE,0,NA,2014-10-22 12:26:32,FALSE,NA,"524899603146366976",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",4,FALSE,FALSE,NA,NA
"31","#MTBPS Nene's speech: Expenditure ceiling will be lowered by R10bn next year, and R15bn the year after. SG",FALSE,0,NA,2014-10-22 12:24:31,FALSE,NA,"524899096784809984",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",1,FALSE,FALSE,NA,NA
"32","#MTBPS Nene's speech: Consolidated budget deficit at R153, 4.1% of GPP. In line with Feb budget estimate. SG",FALSE,1,NA,2014-10-22 12:22:34,FALSE,NA,"524898607527645185",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",2,FALSE,FALSE,NA,NA
"33","#MTBPS Nene's speech: Total expenditure will be about R6bn less than Feb's estimate. Revised revenue estimate is R956 bn.",FALSE,0,NA,2014-10-22 12:21:52,FALSE,NA,"524898430754492417",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",1,FALSE,FALSE,NA,NA
"34","#MTBPS Nene's speech: R32mn for Ebola control, including help for affected countries. SG",FALSE,0,NA,2014-10-22 12:19:23,FALSE,NA,"524897805136318464",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",5,FALSE,FALSE,NA,NA
"35","#MTBPS Nene's speech: R157mn to Cooperative Governance to fix damaged infrastructure, R35mn for emergancy water interventions. SG",FALSE,0,NA,2014-10-22 12:18:52,FALSE,NA,"524897674764771328",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StephenGrootes",3,FALSE,FALSE,NA,NA
