"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Join Business Connect Seminar 29 Nov - support &amp; opportunities for emerging/established entrepreneurs @EMMANUELBONOKO http://t.co/tXBtnPew6J",FALSE,10,NA,2014-10-30 12:33:16,FALSE,NA,"527800401094266880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UlrichJvV",15,FALSE,FALSE,NA,NA
"2","'The only time you should ever look back, is to see how far you've come.' #KeepOnKeepingOn",FALSE,79,NA,2014-10-29 19:22:43,FALSE,NA,"527541055412273153",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UlrichJvV",110,FALSE,FALSE,NA,NA
"3","The goal isn't to live forever, the goal is to create something that will. http://t.co/EXCL1jucWa",FALSE,58,NA,2014-10-28 19:49:23,FALSE,NA,"527185378550497281",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UlrichJvV",85,FALSE,FALSE,NA,NA
"4","These are the identikits released of the 2 suspects behind #SenzoMeyiwa's murder. PLEASE RETWEET! Police ✆08600 10111 http://t.co/VUjmp2uTve",FALSE,34,NA,2014-10-28 11:37:11,FALSE,NA,"527061511395880960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UlrichJvV",568,FALSE,FALSE,NA,NA
"5","Often, life has a tragic way of reminding us just how short and precious it is. #SenzoMeyiwa - gone too soon. http://t.co/T6hq9PpVoc",FALSE,106,NA,2014-10-27 19:11:44,FALSE,NA,"526813514481287168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UlrichJvV",245,FALSE,FALSE,NA,NA
"6","REWARD: R150K for info to arrest killers who shot #SenzoMeyiwa at Kelly Khumalo’s home. Police Tip-off ✆08600 10111 http://t.co/gEuX6L4TnI",FALSE,49,NA,2014-10-27 09:19:01,FALSE,NA,"526664355480621056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UlrichJvV",254,FALSE,FALSE,NA,NA
"7","Shocked by murder of #SenzoMeyiwa! SA Police claim ""crime is under control""? No, crime runs this country! RIP Captain http://t.co/AWGJ72Mt0H",FALSE,77,NA,2014-10-27 07:06:48,FALSE,NA,"526631079550406656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UlrichJvV",260,FALSE,FALSE,NA,NA
"8","Cycling my 1st nightrace. Hit a rock &amp; got a flat. Now lost in the Kalahari desert. I hear Wildebeest bellowing! #SOS http://t.co/wiZpkeYSw1",FALSE,28,NA,2014-10-24 17:44:29,FALSE,NA,"525704395468865536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UlrichJvV",26,FALSE,FALSE,NA,NA
"9","Food is a SA HUMAN RIGHT yet millions go hungry! Join us on @PEFMnews 16:30. @HumanaSA's Tonderai talks Food Security http://t.co/7W4h9Grjcz",FALSE,22,NA,2014-10-24 12:57:34,FALSE,NA,"525632188923248640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UlrichJvV",19,FALSE,FALSE,NA,NA
"10","Sometimes, you have to be your own hero. http://t.co/MwRDQCjjjy",FALSE,118,NA,2014-10-23 20:04:10,FALSE,NA,"525377158777434113",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UlrichJvV",144,FALSE,FALSE,NA,NA
